"AS","Jan 2024","Next Period","Feb 2024"
"AA","Jan 2024","Short Name","Jan 2024"
"AA","Jan 2024","Long Name","Jan 2024"
"AS","Jan 2024","Format","d:0.0E+0"
"AS","Feb 2024","Previous Period","Jan 2024"
"AS","Feb 2024","Next Period","Mar 2024"
"AA","Feb 2024","Short Name","Feb 2024"
"AA","Feb 2024","Long Name","Feb 2024"
"AS","Mar 2024","Previous Period","Feb 2024"
"AS","Mar 2024","Next Period","Apr 2024"
"AA","Mar 2024","Short Name","Mar 2024"
"AA","Mar 2024","Long Name","Mar 2024"
"AS","Apr 2024","Previous Period","Mar 2024"
"AS","Apr 2024","Next Period","May 2024"
"AA","Apr 2024","Short Name","Apr 2024"
"AA","Apr 2024","Long Name","Apr 2024"
"AS","May 2024","Previous Period","Apr 2024"
"AS","May 2024","Next Period","Jun 2024"
"AA","May 2024","Short Name","May 2024"
"AA","May 2024","Long Name","May 2024"
"AS","Jun 2024","Previous Period","May 2024"
"AS","Jun 2024","Next Period","Jul 2024"
"AA","Jun 2024","Short Name","Jun 2024"
"AA","Jun 2024","Long Name","Jun 2024"
"AS","Jul 2024","Previous Period","Jun 2024"
"AS","Jul 2024","Next Period","Aug 2024"
"AA","Jul 2024","Short Name","Jul 2024"
"AA","Jul 2024","Long Name","Jul 2024"
"AS","Aug 2024","Previous Period","Jul 2024"
"AS","Aug 2024","Next Period","Sep 2024"
"AA","Aug 2024","Short Name","Aug 2024"
"AA","Aug 2024","Long Name","Aug 2024"
"AS","Sep 2024","Previous Period","Aug 2024"
"AS","Sep 2024","Next Period","Oct 2024"
"AA","Sep 2024","Short Name","Sep 2024"
"AA","Sep 2024","Long Name","Sep 2024"
"AS","Oct 2024","Previous Period","Sep 2024"
"AS","Oct 2024","Next Period","Nov 2024"
"AA","Oct 2024","Short Name","Oct 2024"
"AA","Oct 2024","Long Name","Oct 2024"
"AS","Nov 2024","Previous Period","Oct 2024"
"AS","Nov 2024","Next Period","Dec 2024"
"AA","Nov 2024","Short Name","Nov 2024"
"AA","Nov 2024","Long Name","Nov 2024"
"AS","Dec 2024","Previous Period","Nov 2024"
"AA","Dec 2024","Short Name","Dec 2024"
"AA","Dec 2024","Long Name","Dec 2024"
"AS","Q1 2024","Last Period","Mar 2024"
"AS","Q1 2024","First Period","Jan 2024"
"AS","Q1 2024","Next Period","Q2 2024"
"AA","Q1 2024","Short Name","Q1 2024"
"AA","Q1 2024","Long Name","Q1 2024"
"AS","Q2 2024","Last Period","Jun 2024"
"AS","Q2 2024","First Period","Apr 2024"
"AS","Q2 2024","Previous Period","Q1 2024"
"AS","Q2 2024","Next Period","Q3 2024"
"AA","Q2 2024","Short Name","Q2 2024"
"AA","Q2 2024","Long Name","Q2 2024"
"AS","Q3 2024","Last Period","Sep 2024"
"AS","Q3 2024","First Period","Jul 2024"
"AS","Q3 2024","Previous Period","Q2 2024"
"AS","Q3 2024","Next Period","Q4 2024"
"AA","Q3 2024","Short Name","Q3 2024"
"AA","Q3 2024","Long Name","Q3 2024"
"AS","Q4 2024","Last Period","Dec 2024"
"AS","Q4 2024","First Period","Oct 2024"
"AS","Q4 2024","Previous Period","Q3 2024"
"AA","Q4 2024","Short Name","Q4 2024"
"AA","Q4 2024","Long Name","Q4 2024"
"AS","2024","Last Period","Dec 2024"
"AS","2024","First Period","Jan 2024"
"AA","2024","Short Name","2024"
"AA","2024","Long Name","2024"
